factor,n_dates_all,IC_mean_all,IC_std_all,ICIR_all,t_stat_all,pct_pos_all,n_dates_normal,IC_mean_normal,IC_std_normal,ICIR_normal,t_stat_normal,pct_pos_normal,n_dates_abnormal,IC_mean_abnormal,IC_std_abnormal,ICIR_abnormal,t_stat_abnormal,pct_pos_abnormal
EP_TTM,1930,0.0198,0.1109,2.831,7.8346,0.5756,1533,0.0227,0.1044,3.4448,8.4963,0.5858,397,0.0087,0.1326,1.038,1.3028,0.5365
BP,1930,0.026,0.1298,3.1784,8.796,0.5756,1533,0.0289,0.1285,3.5653,8.7935,0.5819,397,0.0149,0.1343,1.7616,2.2111,0.5516
EBIT2MV,1930,0.0167,0.1172,2.2597,6.2535,0.5487,1533,0.0203,0.1122,2.8663,7.0695,0.5597,397,0.0028,0.1338,0.3369,0.4229,0.5063
SP1_TTM,1930,0.0179,0.1055,2.6981,7.4668,0.557,1533,0.0201,0.103,3.1005,7.6473,0.5629,397,0.0095,0.1145,1.317,1.6531,0.534
REP_TTM,1930,0.0194,0.0599,5.1369,14.2162,0.6295,1533,0.0172,0.0579,4.7029,11.5995,0.623,397,0.028,0.0665,6.6883,8.3949,0.6549
RBP,1930,0.0317,0.124,4.057,11.2274,0.601,1533,0.0298,0.12,3.9473,9.7358,0.5956,397,0.0389,0.1383,4.4582,5.5957,0.6222
RT_2M,1930,-0.0339,0.1621,-3.3191,-9.1855,0.414,1533,-0.0285,0.1541,-2.9331,-7.2342,0.4234,397,-0.0548,0.1885,-4.6148,-5.7923,0.3778
RT_3M,1930,-0.0283,0.1603,-2.8025,-7.7558,0.415,1533,-0.0228,0.1516,-2.3843,-5.8808,0.4181,397,-0.0496,0.1889,-4.1729,-5.2376,0.403
RT_6M,1930,-0.0215,0.1493,-2.2911,-6.3404,0.4425,1533,-0.0168,0.1449,-1.8427,-4.5449,0.454,397,-0.0398,0.1639,-3.8517,-4.8345,0.398
TO_1M,1930,-0.045,0.1842,-3.8759,-10.7264,0.3969,1533,-0.0516,0.1748,-4.6871,-11.5606,0.3823,397,-0.0194,0.2152,-1.4296,-1.7944,0.4534
PRank_1M,1930,-0.0249,0.1442,-2.7415,-7.5869,0.4275,1533,-0.0227,0.1358,-2.654,-6.546,0.4279,397,-0.0334,0.1728,-3.068,-3.8508,0.4257
ACD5,1930,-0.0456,0.1465,-4.9385,-13.6669,0.3606,1533,-0.0443,0.132,-5.331,-13.1486,0.3568,397,-0.0504,0.1927,-4.1518,-5.2111,0.3753
AmountIR5,1930,0.0398,0.067,9.4199,26.0689,0.7451,1533,0.0396,0.0632,9.9448,24.5283,0.7521,397,0.0405,0.0802,8.0103,10.0541,0.7179
CCI5,1930,-0.0287,0.136,-3.3544,-9.283,0.3964,1533,-0.031,0.1265,-3.8862,-9.5851,0.3855,397,-0.0202,0.1679,-1.9106,-2.3981,0.4383
