factor,mean_coef_all,t_stat_all,p_value_all,mean_coef_normal,t_stat_normal,p_value_normal,mean_coef_abnormal,t_stat_abnormal,p_value_abnormal
EP_TTM,0.009501,8.8224,0.0,0.005883,5.4204,0.0,0.012183,4.2652,0.0
BP,0.000203,1.8041,0.0714,0.000299,2.1946,0.0284,-0.000312,-1.2725,0.204
EBIT2MV,-0.001508,-2.0845,0.0372,-0.001945,-2.3778,0.0176,-0.004387,-2.6894,0.0075
SP1_TTM,1.1e-05,0.8822,0.3778,2e-06,0.1712,0.8641,1.6e-05,0.6645,0.5068
REP_TTM,0.000442,7.4483,0.0,0.000406,5.5154,0.0,0.000736,5.0734,0.0
RBP,-0.00071,-4.5916,0.0,-0.000579,-3.2017,0.0014,-0.000933,-2.0783,0.0384
RT_2M,-0.001243,-2.7861,0.0054,-0.000936,-1.7689,0.0772,-0.002287,-2.0099,0.0452
RT_3M,0.000126,0.3418,0.7326,0.000304,0.694,0.4878,-0.00064,-0.7121,0.4768
RT_6M,-4.2e-05,-0.2051,0.8375,-0.000103,-0.4166,0.677,-0.000402,-0.8433,0.3996
TO_1M,-0.028261,-8.791,0.0,-0.02552,-6.6177,0.0,-0.021843,-2.9392,0.0035
PRank_1M,8.3e-05,0.4664,0.641,0.000295,1.5109,0.1311,-0.000699,-1.2461,0.2135
ACD5,-0.006557,-8.8125,0.0,-0.005459,-6.2302,0.0,-0.008652,-4.6326,0.0
AmountIR5,7.5e-05,8.9221,0.0,5.4e-05,5.8208,0.0,0.000122,4.9336,0.0
CCI5,5e-06,6.5937,0.0,3e-06,3.6957,0.0002,1.3e-05,4.7051,0.0
StyleBias20,-0.002056,-2.4568,0.0141,-0.001568,-1.4727,0.1411,-0.004454,-2.2288,0.0264
ILLIQ,1.164647,2.3477,0.019,1.404688,2.3902,0.017,2.757929,2.3469,0.0194
BCVP,-0.027146,-12.0916,0.0,-0.031031,-12.4558,0.0,-0.027476,-3.7525,0.0002
M4,-0.254889,-29.9653,0.0,-0.236802,-23.2096,0.0,-0.283225,-12.6958,0.0
ROE,6e-06,1.9434,0.0521,7e-06,1.5345,0.1252,8e-06,1.52,0.1293
ROATTM,-2.9e-05,-6.7614,0.0,-3.5e-05,-6.4764,0.0,-2.7e-05,-2.5852,0.0101
GrossIncomeRatioTTM,-0.0,-0.0422,0.9664,-1e-06,-0.4613,0.6446,2e-06,0.3921,0.6952
E_Growth2,3e-06,3.0358,0.0024,3e-06,1.7527,0.0799,7e-06,3.1346,0.0019
OR_Growth2,6.6e-05,2.2217,0.0264,9.1e-05,2.2624,0.0238,2.6e-05,0.3956,0.6926
SHNum,0.0,0.265,0.791,-0.0,-0.0777,0.9381,-0.0,-0.8998,0.3688
FundsHoldPropT,0.000149,0.221,0.8251,0.000363,0.4452,0.6563,-0.000974,-0.5902,0.5554
DivR1,0.007088,5.1669,0.0,0.008129,5.1753,0.0,-0.000348,-0.1014,0.9193
VOL_orth_ZS,-0.000102,-2.1847,0.029,-0.000143,-2.6339,0.0085,9.5e-05,0.7204,0.4717
Beta_orth_ZS,0.000141,2.0027,0.0453,0.000134,1.6136,0.1069,0.000361,1.7631,0.0787
Expect_EP,-0.007486,-5.688,0.0,-0.00345,-2.5785,0.01,-0.009271,-2.8052,0.0053
Expect_E_Growth,2e-05,4.0957,0.0,2e-05,3.0926,0.002,1.6e-05,1.3595,0.1748
Rating,-0.000163,-1.1444,0.2526,-0.00041,-2.3955,0.0167,0.000336,0.8679,0.386
